Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2021,0,0.004889,100000,489,99573,7925291,79.25,100000,17756,0.1776,3658083,36.5808,433.47
2021,1,0.000358,99511,36,99493,7825718,78.64,97274,17278,0.1776,3558083,36.5780,433.44
2021,2,0.000208,99475,21,99465,7726225,77.67,95053,17244,0.1814,3460810,36.4094,431.41
2021,3,0.000175,99455,17,99446,7626760,76.69,92896,17224,0.1854,3365757,36.2313,429.28
2021,4,0.000147,99437,15,99430,7527314,75.70,90792,17208,0.1895,3272860,36.0480,427.08
2021,5,0.000128,99423,13,99416,7427884,74.71,88737,17195,0.1938,3182069,35.8594,424.81
2021,6,0.000115,99410,11,99404,7328467,73.72,86731,17184,0.1981,3093331,35.6657,422.49
2021,7,0.000108,99398,11,99393,7229063,72.73,84772,17175,0.2026,3006600,35.4671,420.10
2021,8,0.000104,99388,10,99383,7129670,71.74,82857,17166,0.2072,2921828,35.2636,417.66
2021,9,0.000104,99377,10,99372,7030287,70.74,80986,17157,0.2119,2838972,35.0553,415.16
2021,10,0.000107,99367,11,99362,6930915,69.75,79157,17149,0.2166,2757986,34.8422,412.61
2021,11,0.000116,99357,12,99351,6831553,68.76,77369,17141,0.2215,2678830,34.6243,409.99
2021,12,0.000130,99345,13,99338,6732203,67.77,75620,17132,0.2266,2601461,34.4016,407.32
2021,13,0.000150,99332,15,99325,6632864,66.77,73910,17122,0.2317,2525841,34.1743,404.59
2021,14,0.000175,99317,17,99308,6533539,65.78,72238,17111,0.2369,2451930,33.9424,401.81
2021,15,0.000257,99300,25,99287,6434231,64.80,70601,17099,0.2422,2379692,33.7060,398.97
2021,16,0.000310,99274,31,99259,6334944,63.81,68996,17081,0.2476,2309091,33.4668,396.10
2021,17,0.000374,99244,37,99225,6235685,62.83,67424,17061,0.2530,2240094,33.2238,393.19
2021,18,0.000442,99206,44,99185,6136460,61.86,65884,17036,0.2586,2172670,32.9773,390.23
2021,19,0.000506,99163,50,99137,6037276,60.88,64374,17007,0.2642,2106786,32.7273,387.23
2021,20,0.000563,99112,56,99085,5938138,59.91,62895,16976,0.2699,2042412,32.4734,384.18
2021,21,0.000613,99057,61,99026,5839054,58.95,61446,16941,0.2757,1979517,32.2154,381.09
2021,22,0.000660,98996,65,98963,5740027,57.98,60028,16904,0.2816,1918071,31.9530,377.94
2021,23,0.000705,98931,70,98896,5641064,57.02,58640,16865,0.2876,1858043,31.6858,374.73
2021,24,0.000750,98861,74,98824,5542168,56.06,57281,16825,0.2937,1799404,31.4137,371.46
2021,25,0.000799,98787,79,98747,5443345,55.10,55951,16783,0.3000,1742123,31.1366,368.14
2021,26,0.000854,98708,84,98666,5344597,54.15,54649,16739,0.3063,1686172,30.8544,364.75
2021,27,0.000915,98623,90,98578,5245932,53.19,53375,16694,0.3128,1631523,30.5672,361.31
2021,28,0.000981,98533,97,98485,5147353,52.24,52127,16646,0.3193,1578148,30.2749,357.80
2021,29,0.001055,98437,104,98385,5048869,51.29,50905,16596,0.3260,1526020,29.9776,354.23
2021,30,0.001135,98333,112,98277,4950484,50.34,49708,16543,0.3328,1475115,29.6754,350.61
2021,31,0.001217,98221,120,98161,4852207,49.40,48536,16488,0.3397,1425407,29.3683,346.92
2021,32,0.001295,98102,127,98038,4754046,48.46,47387,16431,0.3467,1376871,29.0561,343.17
2021,33,0.001367,97975,134,97908,4656008,47.52,46261,16371,0.3539,1329485,28.7386,339.36
2021,34,0.001433,97841,140,97771,4558100,46.59,45159,16309,0.3611,1283223,28.4154,335.49
2021,35,0.001504,97700,147,97627,4460330,45.65,44081,16246,0.3685,1238064,28.0863,331.54
2021,36,0.001584,97553,155,97476,4362703,44.72,43025,16181,0.3761,1193983,27.7510,327.51
2021,37,0.001674,97399,163,97317,4265226,43.79,41991,16114,0.3838,1150958,27.4097,323.42
2021,38,0.001769,97236,172,97150,4167909,42.86,40978,16045,0.3916,1108967,27.0624,319.25
2021,39,0.001860,97064,181,96974,4070759,41.94,39986,15975,0.3995,1067989,26.7091,315.01
2021,40,0.001944,96883,188,96789,3973785,41.02,39014,15902,0.4076,1028003,26.3494,310.69
2021,41,0.002031,96695,196,96597,3876996,40.10,38063,15828,0.4158,988989,25.9829,306.30
2021,42,0.002134,96499,206,96396,3780399,39.18,37132,15752,0.4242,950926,25.6096,301.81
2021,43,0.002264,96293,218,96184,3684004,38.26,36219,15675,0.4328,913794,25.2294,297.25
2021,44,0.002423,96075,233,95958,3587820,37.34,35325,15595,0.4415,877575,24.8429,292.62
2021,45,0.002612,95842,250,95717,3491861,36.43,34447,15511,0.4503,842250,24.4506,287.91
2021,46,0.002824,95592,270,95457,3396145,35.53,33585,15423,0.4592,807803,24.0527,283.13
2021,47,0.003056,95322,291,95176,3300688,34.63,32737,15330,0.4683,774218,23.6498,278.30
2021,48,0.003316,95030,315,94873,3205512,33.73,31903,15232,0.4775,741481,23.2417,273.40
2021,49,0.003611,94715,342,94544,3110639,32.84,31082,15129,0.4867,709578,22.8290,268.45
2021,50,0.003946,94373,372,94187,3016095,31.96,30274,15019,0.4961,678496,22.4120,263.44
2021,51,0.004319,94001,406,93798,2921908,31.08,29476,14902,0.5056,648222,21.9912,258.39
2021,52,0.004729,93595,443,93374,2828111,30.22,28689,14778,0.5151,618746,21.5672,253.31
2021,53,0.005183,93152,483,92911,2734737,29.36,27912,14645,0.5247,590056,21.1402,248.18
2021,54,0.005682,92669,527,92406,2641826,28.51,27143,14504,0.5344,562145,20.7108,243.03
2021,55,0.006223,92143,573,91856,2549420,27.67,26382,14353,0.5441,535002,20.2793,237.85
2021,56,0.006794,91569,622,91258,2457564,26.84,25628,14193,0.5538,508621,19.8463,232.66
2021,57,0.007381,90947,671,90612,2366306,26.02,24882,14023,0.5636,482993,19.4116,227.44
2021,58,0.007978,90276,720,89916,2275694,25.21,24143,13843,0.5734,458111,18.9751,222.20
2021,59,0.008592,89556,769,89171,2185778,24.41,23412,13655,0.5832,433968,18.5364,216.94
2021,60,0.009225,88786,819,88377,2096607,23.61,22689,13458,0.5932,410557,18.0952,211.64
2021,61,0.009864,87967,868,87534,2008230,22.83,21974,13254,0.6031,387868,17.6513,206.32
2021,62,0.010501,87100,915,86642,1920696,22.05,21268,13042,0.6132,365894,17.2039,200.95
2021,63,0.011148,86185,961,85705,1834054,21.28,20572,12823,0.6234,344626,16.7525,195.53
2021,64,0.011843,85224,1009,84720,1748349,20.51,19885,12599,0.6336,324054,16.2965,190.06
2021,65,0.012137,84215,1022,83704,1663630,19.75,19208,12369,0.6440,304170,15.8359,184.53
2021,66,0.012907,83193,1074,82656,1579926,18.99,18548,12141,0.6546,284962,15.3636,178.86
2021,67,0.013838,82119,1136,81551,1497270,18.23,17897,11907,0.6653,266414,14.8861,173.13
2021,68,0.014860,80983,1203,80381,1415719,17.48,17252,11665,0.6761,248517,14.4048,167.36
2021,69,0.016036,79779,1279,79140,1335338,16.74,16614,11414,0.6870,231265,13.9200,161.54
2021,70,0.017301,78500,1358,77821,1256198,16.00,15980,11154,0.6980,214651,13.4325,155.69
2021,71,0.018856,77142,1455,76414,1178378,15.28,15350,10884,0.7090,198671,12.9424,149.81
2021,72,0.020612,75687,1560,74907,1101963,14.56,14722,10601,0.7200,183321,12.4519,143.92
2021,73,0.022579,74127,1674,73290,1027056,13.86,14095,10304,0.7311,168598,11.9618,138.04
