Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2021,0,0.005910,100000,591,99485,7348759,73.49,100000,20541,0.2054,3534218,35.3422,418.61
2021,1,0.000457,99409,45,99386,7249275,72.92,97174,19963,0.2054,3434218,35.3409,418.59
2021,2,0.000265,99364,26,99350,7149888,71.96,94946,19920,0.2098,3337043,35.1468,416.26
2021,3,0.000219,99337,22,99326,7050538,70.98,92787,19895,0.2144,3242098,34.9414,413.80
2021,4,0.000179,99316,18,99307,6951211,69.99,90681,19875,0.2192,3149311,34.7297,411.26
2021,5,0.000151,99298,15,99290,6851905,69.00,88626,19859,0.2241,3058630,34.5116,408.64
2021,6,0.000134,99283,13,99276,6752614,68.01,86620,19846,0.2291,2970004,34.2876,405.95
2021,7,0.000126,99270,12,99263,6653338,67.02,84662,19835,0.2343,2883384,34.0577,403.19
2021,8,0.000124,99257,12,99251,6554075,66.03,82748,19824,0.2396,2798722,33.8223,400.37
2021,9,0.000126,99245,12,99239,6454824,65.04,80877,19814,0.2450,2715974,33.5814,397.48
2021,10,0.000132,99232,13,99226,6355585,64.05,79049,19804,0.2505,2635097,33.3349,394.52
2021,11,0.000144,99219,14,99212,6256359,63.06,77262,19794,0.2562,2556048,33.0830,391.50
2021,12,0.000168,99205,17,99197,6157147,62.06,75514,19783,0.2620,2478786,32.8256,388.41
2021,13,0.000214,99188,21,99178,6057951,61.08,73804,19771,0.2679,2403272,32.5631,385.26
2021,14,0.000290,99167,29,99153,5958773,60.09,72129,19756,0.2739,2329469,32.2960,382.05
2021,15,0.000496,99138,49,99114,5859620,59.11,70487,19735,0.2800,2257340,32.0251,378.80
2021,16,0.000678,99089,67,99056,5760507,58.13,68868,19701,0.2861,2186853,31.7544,375.55
2021,17,0.000893,99022,88,98978,5661451,57.17,67274,19655,0.2922,2117986,31.4831,372.30
2021,18,0.001120,98934,111,98878,5562473,56.22,65703,19597,0.2983,2050712,31.2121,369.04
2021,19,0.001332,98823,132,98757,5463595,55.29,64153,19525,0.3043,1985009,30.9416,365.80
2021,20,0.001515,98691,150,98616,5364838,54.36,62627,19441,0.3104,1920856,30.6711,362.55
2021,21,0.001664,98542,164,98460,5266222,53.44,61127,19348,0.3165,1858228,30.3996,359.30
2021,22,0.001779,98378,175,98290,5167763,52.53,59653,19249,0.3227,1797102,30.1259,356.01
2021,23,0.001873,98203,184,98111,5069472,51.62,58208,19145,0.3289,1737449,29.8489,352.69
2021,24,0.001963,98019,192,97922,4971362,50.72,56793,19039,0.3352,1679241,29.5678,349.31
2021,25,0.002058,97826,201,97726,4873439,49.82,55407,18930,0.3416,1622448,29.2824,345.89
2021,26,0.002156,97625,210,97520,4775714,48.92,54050,18818,0.3482,1567041,28.9925,342.41
2021,27,0.002255,97415,220,97305,4678194,48.02,52721,18704,0.3548,1512991,28.6982,338.88
2021,28,0.002349,97195,228,97081,4580889,47.13,51419,18588,0.3615,1460270,28.3993,335.29
2021,29,0.002437,96967,236,96848,4483808,46.24,50145,18470,0.3683,1408851,28.0955,331.65
2021,30,0.002520,96730,244,96608,4386960,45.35,48898,18351,0.3753,1358706,27.7864,327.94
2021,31,0.002600,96486,251,96361,4290352,44.47,47678,18230,0.3824,1309808,27.4717,324.16
2021,32,0.002683,96236,258,96106,4193991,43.58,46485,18109,0.3896,1262129,27.1512,320.31
2021,33,0.002777,95977,267,95844,4097884,42.70,45318,17987,0.3969,1215644,26.8246,316.40
2021,34,0.002882,95711,276,95573,4002040,41.81,44176,17864,0.4044,1170326,26.4921,312.41
2021,35,0.002990,95435,285,95292,3906467,40.93,43059,17740,0.4120,1126149,26.1538,308.35
2021,36,0.003098,95150,295,95002,3811175,40.05,41965,17614,0.4197,1083091,25.8095,304.21
2021,37,0.003206,94855,304,94703,3716173,39.18,40894,17487,0.4276,1041126,25.4590,300.01
